adduser	3.118ubuntu5
libxpm4	1:3.5.12-1ubuntu0.22.04.2
libxrandr2	2:1.5.2-1build1
libxrandr2	2:1.5.2-1build1
libxrender1	1:0.9.10-1build4
libxrender1	1:0.9.10-1build4
libxshmfence1	1.3-1build4
libxt6	1:1.2.1-1
libxtst6	2:1.2.3-1build4
libxtst6	2:1.2.3-1build4
libxv1	2:1.0.11-1build2
libxxf86dga1	2:1.1.5-0ubuntu3
libxxf86vm1	1:1.1.4-1build3
libxxhash0	0.8.1-1
libyaml-0-2	0.2.2-1build2
libyaml-libyaml-perl	0.83+ds-1ubuntu0.22.04.1
libyaml-perl	1.30-1
libzstd1	1.4.8+dfsg-3build1
libzstd1	1.4.8+dfsg-3build1
linux-libc-dev	5.15.0-186.196
linux-libc-dev-arm64-cross	5.15.0-22.22cross3
linux-libc-dev-armhf-cross	5.15.0-22.22cross3
locales	2.35-0ubuntu3.13
login	1:4.8.1-2ubuntu2.2
logsave	1.46.5-2ubuntu1.2
lsb-base	11.1.0ubuntu4
lto-disabled-list	24
lz4	1.9.3-2build2
lzop	1.04-2build2
make	4.3-4.1build1
manpages	5.10-1ubuntu1
manpages-dev	5.10-1ubuntu1
mawk	1.3.4.20200120-3
media-types	7.0.0
mount	2.37.2-4ubuntu3.4
ncurses-base	6.3-2ubuntu0.1
ncurses-bin	6.3-2ubuntu0.1
netbase	6.3
nettle-dev	3.7.3-1build2
net-tools	1.60+git20181103.0eebece-1ubuntu5.4
openssh-client	1:8.9p1-3ubuntu0.16
openssl	3.0.2-0ubuntu1.25
passwd	1:4.8.1-2ubuntu2.2
patch	2.7.6-7build2
perl	5.34.0-3ubuntu1.7
perl-base	5.34.0-3ubuntu1.7
perl-modules-5.34	5.34.0-3ubuntu1.7
perl-openssl-defaults	5build2
pinentry-curses	1.1.1-1build2
pkg-config	0.29.2-1ubuntu3
procps	2:3.3.17-6ubuntu2.1
publicsuffix	20211207.1025-1
python3.10	3.10.12-1~22.04.16
python3.10-dev	3.10.12-1~22.04.16
python3.10-minimal	3.10.12-1~22.04.16
